hour,zone1,zone2,zone3,zone4,zone5,zone6,zone7,zone8
0,0.12,0.10,0.08,0.11,0.09,0.08,0.10,0.07
1,0.09,0.08,0.06,0.08,0.07,0.06,0.07,0.05
2,0.07,0.06,0.05,0.06,0.05,0.04,0.05,0.04
3,0.06,0.05,0.04,0.05,0.04,0.04,0.05,0.03
4,0.08,0.07,0.06,0.07,0.06,0.05,0.07,0.05
5,0.20,0.18,0.16,0.19,0.17,0.15,0.18,0.14
6,0.48,0.43,0.40,0.46,0.42,0.39,0.44,0.38
7,0.68,0.62,0.58,0.66,0.61,0.56,0.64,0.55
8,0.64,0.59,0.54,0.62,0.57,0.53,0.60,0.51
9,0.42,0.38,0.34,0.40,0.37,0.33,0.39,0.32
10,0.30,0.27,0.24,0.29,0.26,0.23,0.28,0.22
11,0.28,0.25,0.22,0.27,0.24,0.21,0.26,0.20
12,0.36,0.33,0.30,0.35,0.32,0.29,0.34,0.28
13,0.34,0.31,0.28,0.33,0.30,0.27,0.32,0.26
14,0.29,0.26,0.23,0.28,0.25,0.22,0.27,0.21
15,0.32,0.29,0.26,0.31,0.28,0.25,0.30,0.24
16,0.46,0.42,0.38,0.44,0.41,0.37,0.43,0.36
17,0.63,0.58,0.53,0.61,0.57,0.52,0.59,0.51
18,0.78,0.72,0.68,0.76,0.71,0.66,0.74,0.65
19,0.82,0.76,0.71,0.80,0.75,0.69,0.78,0.68
20,0.74,0.69,0.64,0.72,0.68,0.62,0.70,0.61
21,0.61,0.56,0.51,0.59,0.55,0.49,0.57,0.48
22,0.42,0.38,0.34,0.40,0.37,0.33,0.39,0.32
23,0.24,0.21,0.18,0.23,0.20,0.17,0.22,0.16
